iso3,year,population_total,gdp_current_usd,gdp_real_growth_pct,life_expectancy_years,maternal_mortality_ratio,population_growth_pct,gdp_per_capita_usd,dev_index,decade
BEN,1960,2517286,226195578.434497,,38.775,,,89.85692465397138,0.5460065159443183,1960
BEN,1961,2559223,235668220.508202,3.14128045641213,39.233,,1.6659608800907,92.08584812976517,0.5490509535830369,1960
BEN,1962,2604659,236434954.038578,-3.42640982098587,39.643,,1.7753826063613865,90.77386100774727,0.5509863422738533,1960
BEN,1963,2652908,253927697.25805,4.7300279709188,40.081,,1.8524113905121542,95.71673697619744,0.5545693359398981,1960
BEN,1964,2704003,269819005.87814,6.65075912824808,40.502,,1.9259996954285707,99.78502460172565,0.5578501846553308,1960
BEN,1965,2757936,289908680.426395,5.29386282871174,40.971,,1.9945613965665077,105.11798693892644,0.5616963828230533,1960
BEN,1966,2814317,302925235.151997,3.57586273248711,41.274,,2.0443186498888988,107.63721185353215,0.563960017331546,1960
BEN,1967,2872997,306221953.104911,1.07839866664565,41.759,,2.085052963116807,106.58624185995009,0.5663691124415552,1960
BEN,1968,2934257,326323105.26476,3.84233563459493,42.182,,2.1322681506454666,111.21149417544544,0.5697939668057576,1960
BEN,1969,2998222,330748244.539574,2.87749797403703,42.591,,2.17993856707166,110.31479474821212,0.5718230659108695,1960
BEN,1970,3065057,333627713.494438,2.09775758051059,43.029,,2.2291544788878292,108.8487794825473,0.5738752380339277,1970
BEN,1971,3134767,335073027.54117,-1.4968418264467,43.391,,2.274345958329649,106.88929274206663,0.5753926951165034,1970
BEN,1972,3207543,410331856.991218,6.4263675448305,43.928,,2.3215760533398466,127.9271570143309,0.5833631174350863,1970
BEN,1973,3283496,504376074.185709,3.70616531907105,44.435,,2.3679495489226543,153.60946813570322,0.592278363774079,1970
BEN,1974,3362633,554654860.702577,3.33931215742955,44.876,,2.4101445532444643,164.94659414291627,0.5974051362062361,1970
BEN,1975,3445407,676870140.341529,-4.89534544658655,45.405,,2.461582932184392,196.45578601933792,0.6078328512653118,1970
BEN,1976,3532196,698408261.922237,0.884356332845641,45.952,,2.518976713055965,197.72636114254053,0.6111365260899241,1970
BEN,1977,3623202,750049778.84069,4.98366372995041,46.504,,2.5764708413689386,207.0129622473961,0.6163823251123302,1970
BEN,1978,3718305,928843469.431727,1.25507802775073,46.941,,2.6248329516267654,249.80292618053846,0.628999952692968,1970
BEN,1979,3818528,1186231019.82044,6.53574741502341,47.362,,2.6953948102697245,310.65138708435296,0.6458432585158382,1970
BEN,1980,3925251,1405251846.54048,6.78176386785228,47.747,,2.7948727886766944,358.003054209904,0.6592652804117916,1980
